article,series,series-id,episode,language,category,origin,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
2000010799,Mascha und der Bär,mascha-und-der-baer,Masha og Bjørnen - Leg og latter i skoven,da-dk,audio-play,tunes,782dbe0b-d9a5-493f-8fdb-2f826c38d656,https://tonies.com/de-de/audio-content/mascha-und-der-baer/masha-og-bjrnen-leg-og-latter-i-skoven/,1,0,0,0
2000010800,Mascha und der Bär,mascha-und-der-baer,Masha og Bjørnen - Fortællinger fra træhytten,da-dk,audio-play,tunes,dc48d85f-c43c-4654-b5a4-fce349dff1bc,https://tonies.com/de-de/audio-content/mascha-und-der-baer/masha-og-bjrnen-fortllinger-fra-trhytten/,1,0,0,0
2000010801,Mascha und der Bär,mascha-und-der-baer,Masha og Bjørnen - Superheltesjov og vinterballade,da-dk,audio-play,tunes,dea60506-7a34-4e6a-8131-2e26dfe46ca8,https://tonies.com/de-de/audio-content/mascha-und-der-baer/masha-og-bjrnen-superheltesjov-og-vinterballade/,1,0,0,0
2000010806,Barbie,barbie,Barbie - På eventyr i rummet,da-dk,audio-play,tunes,c3de23dd-3f9b-4ea0-91b6-44f8388facff,https://tonies.com/de-de/audio-content/barbie/barbie-pa-eventyr-i-rummet/,1,0,0,0
2000010810,Pettersson und Findus,pettersson-und-findus,Gok-Gok i køkkenhaven,da-dk,audio-play,tunes,e4534820-dd96-4008-b48a-7d196fa6d25d,https://tonies.com/de-de/audio-content/pettersson-und-findus/gok-gok-i-kkkenhaven/,1,0,0,0
2000010811,Pettersson und Findus,pettersson-und-findus,Og hanen gol ...,da-dk,audio-play,tunes,81e7a359-919b-478e-a682-32c342af6665,https://tonies.com/de-de/audio-content/pettersson-und-findus/og-hanen-gol/,1,0,0,0
2000010812,Pettersson und Findus,pettersson-und-findus,Da Findus var lille og forsvandt,da-dk,audio-play,tunes,98167441-605a-489e-ad5d-96eaff6d6249,https://tonies.com/de-de/audio-content/pettersson-und-findus/da-findus-var-lille-og-forsvandt/,1,0,0,0
2000010814,Wendy,wendy,Wendy fra Lindehøj,da-dk,audio-play,tunes,e27d0638-3e35-4d3a-bda9-fa4684c64a34,https://tonies.com/de-de/audio-content/wendy/wendy-fra-lindehj/,1,0,0,0
2000010815,Wendy,wendy,Wendy på ferie i Spanien,da-dk,audio-play,tunes,393e74f8-2916-4dfd-bfb6-2f27c2a8514f,https://tonies.com/de-de/audio-content/wendy/wendy-pa-ferie-i-spanien/,1,0,0,0
2000010816,Wendy,wendy,Wendy - Da Zeus blev stjålet,da-dk,audio-play,tunes,7a727ddc-15ca-414d-b7dc-6dda6c97e6ca,https://tonies.com/de-de/audio-content/wendy/wendy-da-zeus-blev-stjalet/,1,0,0,0
2000010817,Wendy,wendy,Wendy - En verden uden heste,da-dk,audio-play,tunes,a24a8757-bca5-49a6-beab-708c683c6fdd,https://tonies.com/de-de/audio-content/wendy/wendy-en-verden-uden-heste/,1,0,0,0
2000010818,Wendy,wendy,Wendy - Gør mig til springrytter,da-dk,audio-play,tunes,1617f67c-259d-4016-b4a2-a43d68d08d6f,https://tonies.com/de-de/audio-content/wendy/wendy-gr-mig-til-springrytter/,1,0,0,0
2000010819,Wendy,wendy,Wendy - Skattejagten,da-dk,audio-play,tunes,3a1f04d4-59b2-450c-a5b9-d83a4387f6ee,https://tonies.com/de-de/audio-content/wendy/wendy-skattejagten/,1,0,0,0
